iter	Passed	Remaining
0	2	225
1	4	216
2	5	182
3	6	156
4	7	147
5	9	141
6	10	137
7	11	135
8	13	133
9	14	130
10	16	132
11	18	133
12	19	130
13	20	128
14	22	126
15	23	125
16	25	122
17	26	120
18	27	118
19	29	116
20	30	114
21	33	117
22	35	118
23	36	116
24	38	114
25	39	112
26	40	109
27	41	107
28	43	105
29	44	103
30	46	104
31	48	103
32	50	102
33	51	100
34	53	98
35	54	96
36	55	95
37	57	93
38	58	91
39	59	89
40	62	89
41	63	87
42	65	87
43	67	85
44	68	83
45	69	81
46	70	79
47	71	77
48	73	76
49	74	74
50	76	73
51	78	72
52	79	70
53	80	68
54	81	66
55	82	65
56	83	63
57	85	61
58	86	60
59	87	58
60	89	57
61	91	56
62	93	54
63	94	53
64	96	52
65	97	50
66	99	49
67	100	47
68	102	46
69	104	44
70	106	43
71	110	43
72	112	41
73	114	40
74	115	38
75	116	36
76	117	35
77	119	33
78	124	33
79	128	32
80	129	30
81	131	28
82	133	27
83	135	25
84	139	24
85	141	23
86	143	21
87	145	19
88	146	18
89	148	16
90	152	15
91	155	13
92	156	11
93	158	10
94	159	8
95	161	6
96	162	5
97	165	3
98	169	1
99	172	0
