iter	Passed	Remaining
0	159	158918
1	163	81718
2	168	55970
3	173	43256
4	180	35996
5	184	30567
6	187	26545
7	189	23474
8	191	21078
9	193	19164
10	195	17591
11	197	16244
12	198	15100
13	200	14115
14	201	13242
15	202	12477
16	204	11799
17	205	11200
18	207	10690
19	208	10208
20	209	9762
21	210	9357
22	211	8983
23	212	8645
24	213	8332
25	214	8047
26	215	7774
27	216	7520
28	217	7282
29	218	7060
30	219	6860
31	220	6677
32	221	6496
33	222	6324
34	223	6161
35	224	6009
36	225	5864
37	226	5727
38	227	5595
39	228	5474
40	229	5356
41	229	5245
42	230	5137
43	231	5034
44	232	4939
45	233	4852
46	235	4769
47	236	4682
48	236	4598
49	237	4518
50	238	4442
51	239	4368
52	240	4296
53	241	4227
54	242	4162
55	243	4098
56	243	4035
57	244	3976
58	245	3918
59	246	3861
60	247	3808
61	248	3761
62	249	3716
63	250	3667
64	251	3619
65	252	3572
66	253	3527
67	254	3485
68	255	3451
69	256	3410
70	257	3370
71	258	3331
72	259	3293
73	260	3256
74	261	3220
75	262	3186
76	263	3153
77	264	3121
78	264	3088
79	265	3057
80	266	3026
81	267	2995
82	268	2961
83	269	2934
84	270	2910
85	271	2883
86	272	2856
87	273	2829
88	273	2804
89	274	2779
90	275	2754
91	276	2731
92	277	2710
93	279	2690
94	279	2667
95	280	2644
96	281	2622
97	282	2600
98	283	2578
99	284	2558
100	285	2537
101	285	2517
102	286	2497
103	287	2478
104	288	2459
105	289	2441
106	290	2422
107	291	2406
108	292	2391
109	293	2376
110	294	2359
111	295	2343
112	296	2326
113	297	2311
114	298	2297
115	299	2283
116	300	2267
117	301	2252
118	302	2237
119	303	2223
120	304	2209
121	304	2193
122	305	2179
123	306	2168
124	307	2155
125	309	2143
126	309	2129
127	310	2116
128	312	2106
129	313	2096
130	314	2087
131	315	2075
132	316	2063
133	317	2050
134	318	2039
135	319	2027
136	320	2016
137	321	2007
138	322	1998
139	323	1988
140	324	1977
141	325	1965
142	326	1955
143	327	1945
144	328	1934
145	329	1924
146	329	1914
147	330	1903
148	331	1893
149	332	1883
150	333	1874
151	334	1865
152	335	1856
153	336	1848
154	338	1845
155	339	1836
156	340	1828
157	341	1819
158	342	1810
159	343	1803
160	344	1792
161	344	1784
162	345	1775
163	346	1767
164	347	1759
165	348	1751
166	350	1745
167	351	1739
168	352	1733
169	353	1725
170	354	1718
171	355	1710
172	356	1702
173	356	1694
174	357	1686
175	358	1679
176	359	1671
177	360	1664
178	361	1657
179	362	1650
180	363	1643
181	364	1636
182	365	1631
183	366	1626
184	368	1621
185	369	1615
186	369	1608
187	370	1601
188	371	1594
189	372	1588
190	373	1581
191	374	1575
192	375	1568
193	376	1562
